#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	clean_SRR28210342_metaphlan	clean_SRR28210343_metaphlan	clean_SRR28210344_metaphlan	clean_SRR28210345_metaphlan	clean_SRR28210346_metaphlan	clean_SRR28210347_metaphlan	clean_SRR28210348_metaphlan	clean_SRR28210349_metaphlan	clean_SRR28210350_metaphlan	clean_SRR28210351_metaphlan	clean_SRR28210352_metaphlan	clean_SRR28210353_metaphlan	clean_SRR28210354_metaphlan	clean_SRR28210355_metaphlan	clean_SRR28210356_metaphlan	clean_SRR28210357_metaphlan	clean_SRR28210358_metaphlan	clean_SRR28210359_metaphlan	clean_SRR28210360_metaphlan	clean_SRR28210361_metaphlan	clean_SRR28210362_metaphlan	clean_SRR28210363_metaphlan	clean_SRR28210364_metaphlan	clean_SRR28210365_metaphlan	clean_SRR28210366_metaphlan	clean_SRR28210367_metaphlan	clean_SRR28210368_metaphlan	clean_SRR28210369_metaphlan	clean_SRR28210370_metaphlan	clean_SRR28210371_metaphlan	clean_SRR28210372_metaphlan	clean_SRR28210373_metaphlan	clean_SRR28210374_metaphlan	clean_SRR28210375_metaphlan	clean_SRR28210376_metaphlan	clean_SRR28210377_metaphlan	clean_SRR28210378_metaphlan	clean_SRR28210379_metaphlan	clean_SRR28210380_metaphlan	clean_SRR28210381_metaphlan
k__Bacteria|p__Firmicutes|c__CFGB14936	5.53309	2.50671	0.0	0.0	0.0	0.0	0.0	0.0	5.87272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.60116	0.0	1.25111	0.0	0.0	0.0	4.83428	3.5899	0.0	0.0	0.0	0.0	0.0	3.34102	0.5681	0.0	0.05834	0.0	0.07538	0.0	0.0	0.0	0.0	0.0169
k__Bacteria|p__Firmicutes|c__Negativicutes	5.523	2.58122	0.05864	15.2397	1.16811	1.332	0.08554	0.2057	9.59684	3.05878	4.36406	3.04833	2.02548	0.04541	1.73708	46.79654	0.79569	2.29971	2.92777	4.63005	0.73189	0.08248	12.80682	1.14339	0.95939	2.10459	1.34609	1.56579	1.88438	0.84413	0.29308	2.21488	2.81645	1.7915	0.66297	4.27812	1.6787	3.7471	2.59078	13.40081
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3.80244	4.31073	10.34039	15.89893	9.44489	2.97919	6.39606	35.38777	13.60415	2.31151	9.71506	19.20858	34.52281	44.67431	14.84463	15.34095	4.77293	8.62483	13.32338	3.26238	37.21739	2.78573	8.5432	5.49756	10.88765	5.87545	2.36146	14.50197	9.98683	0.12252	24.7755	1.78931	8.91187	8.74884	20.01131	6.20988	25.04046	6.03358	6.32143	24.48265
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	3.40842	1.39813	0.22822	1.74262	0.25362	0.94304	0.37825	3.32718	1.02978	0.77418	1.30748	3.97185	4.05832	0.85862	0.45016	0.18358	1.26659	1.96326	2.33593	0.74141	0.34572	1.88742	0.63892	1.71169	4.49056	2.61185	0.13376	2.83196	3.97667	0.20952	1.04739	2.76633	0.14216	2.71546	0.35739	0.48596	0.39202	0.09183	2.07413	0.25006
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.02231	0.0448	0.04949	0.0	0.0	0.0	3.96786	6.66664	0.0	0.00227	0.0	0.58897	0.0	0.0	0.0	0.02053	0.3643	0.15179	0.0	9.44209	0.00047	0.0	6.13396	0.0	0.0	0.78664	0.0	0.0	0.0	0.0	0.16518	0.0412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354	2.14322	1.93834	0.0	0.00348	0.49937	0.0	0.0	0.0	0.0	0.0	0.17029	3.72768	0.0	0.0	0.0	0.0	0.0	0.89774	0.0	0.0	0.0	0.0	0.0	0.0055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00382
k__Bacteria|p__Firmicutes|c__CFGB3062	0.98406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1776	0.74727	1.57022	0.0	0.13857	0.0	0.0	0.0	0.0	0.0186	0.0	0.0	2.46484	0.0	0.0	0.0	0.0	0.0	1.44063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42904	0.0001
k__Bacteria|p__Bacillota|c__Clostridia	0.51806	2.61683	1.1979	4.41813	1.02876	1.28655	2.13316	1.05771	1.19111	0.10034	5.16379	0.90996	0.00292	0.88787	13.5036	0.75694	2.35655	4.73778	14.3878	0.0992	0.17446	0.03728	2.15264	13.30135	0.01229	0.00937	4.08691	1.77701	0.00209	0.03397	2.62891	1.7878	10.68835	3.6231	5.06974	2.44192	0.00067	2.20747	5.73129	0.00552
k__Bacteria|p__Firmicutes|c__CFGB31455	0.49968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.49878	0.96676	0.15617	0.25352	0.02739	0.02382	0.0	0.30643	0.03006	0.26075	0.38681	0.08043	0.0	0.0	0.06119	0.0	0.05587	0.01876	0.03154	0.49815	0.0	0.00888	0.0	0.62166	0.43629	0.33721	0.0	0.23652	0.08608	0.0	0.33271	0.14594	0.72022	0.52432	0.0	0.0	0.00636	0.37337	0.63641	0.0002
